description,unit
"Bricks masonary with brick having a minimum crushing strength of 35kg/sq.cm. as per IS1077-1976 in superstructure for any thick ness of walls in C.M1:8pro.(1cement:8sand)including soaking of brick all incidental,operational, scaffolding,curing charge cost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0""above basement level) Plastering 20mm in CM1:6 pro.(1cement:6sand)including surface cost of curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",
"Plastering 20mm in CM1:6 pro.(1cement:6sand)including surface cost of curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",19.69m2
"Plastering 12mm in CM1:6 pro.(1cement:6sand)including surface costof curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",19.69m2
"providing barbed wire fencing on compound wall with 40x40x6mm MS angle of 4'0"" length at 12'0"" center to center and providing SWG barbed wire 6nos horizentals & 2nos diagonals including cost of GI wire for tying the barbed wire and making holes in brick masonary for fixing MS angle including cost of PCC 1:2:4 prop. of size 0.23x0.23x0.23mts complete as directed by",
"Earth work excavation in all kind of soils wet or dry such as Clay hard clay, black cotton soil, red earth, moorum,gravel etc., inloose and slushy condition except rock requiring Blasting for fondation of walls and column footings including Bailing out of water (pumping out water if necessary)with Necessary site clearence, marking out temporary steping, Slopping, shoring strutting ,sectioning, tamping as directed With an intial lead of 10m and lift of 2m complete as directed",
"2 Earth work excavation in all kind of soils wet or dry such as Clay hard clay, black cotton soil, red earth, moorum,gravel etc., inloose and slushy condition except rock requiring Blasting for fondation of walls and column footings including Bailing out of water (pumping out water if necessary)with Necessary site clearence, marking out temporary steping, Slopping, shoring strutting ,sectioning, tamping as directed With an intial lead of 10m and lift of 2m complete as directed",10m3
"supply and filling of sand in foundation,basement and sides Of foundation in 150mm thick layers complying with standard specification including watering consolidation ,cost and conveyance of all labour and material at site of work complete as directed by the engineer-in charge",1m3
"Bricks masonary with brick having a minimum crushing strength of 35kg/sq.cm. as per IS1077-1976 in superstructure for any thick ness of walls in C.M1:8pro.(1cement:8sand)including soaking of brick all incidental,operational, scaffolding,curing charge cost and conveyance of all labour and material at site of work complete as directed by the Engineer-in-charge (ground floor upto a height of 12'0""above basement level) off sets 1x",1m3
"Plastering 20mm in CM1:5 pro.(1cement:5sand)including surface cost of curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",10m2
"Plastering 12mm in CM1:5 pro.(1cement:5sand)including surface cost of curing ,scaffoiding,lift,all incidenatal and operational charges cost and conveyance of all labour and material at site of work complete as dorected by the Engineer-",1Rm
"Providing coping with brick masonary on top of pillars and compound wall 1'3""x1'3"" in CM1:6 pro (1cement:6sand) and plastering with CM 1:6pro 12 mm thick all round coping including mixing cement mortar finishing and soaking of brick curing all incidental operational charges including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer in charge.",1Rm
"Providing barbed wire fencing compound wall with 40x40x6mm MS angles of 4'0"" length 12'0""center to center and providing SWG barbed wire 6 nos horizental&2nos diagonals diagonals including cost of GI wire for tying the barbed wire and making holes in bricks masonary nfor fixing MS angle including cost of PCC 1:2:4 prop.of size 0.23x0.23x0.23 mts complete as directed by the Engineer in charge .",10m2
"Colour washing two coats to walls and ceiling with freshli burnt and slacked shell lime OR janatha cem of approved quality including cost of Gum,Gunjee and water,labour charges for preparing and cleaning the surface and dirt with soap and brushes including putty cost,scaffolding, cost and conveyance of all labiour and material at site of work complete as directed",10m2
"Engaging of mechanical excavator including cost and Conveyance of all labour and materials at site of work complete As directed by the engineer in charge. For removing the granite stones, cutting the bushes, trees and roots",10m3
"Refilling of excavated earth in foundation and basement hire hire charges of T&Pall incidental operational charges,including cost and conveyance of all labour and materials at site of work complete as directed by the Engineer in charge.",10m3
"2 Making of holes above 18mm dia in RCC/any stones above 50mm thick including hire charges of drilling machine,crew charges ,all incidental and operational c/c of all albour and materials at site of work etc., complete as directed.(SSR P.No.166,Sl.No.1059)",
"Making of holes above 18mm dia in RCC/any stones above 50mm thick including hire charges of drilling machine,crew charges ,all incidental and operational c/c of all albour and materials at site of work etc., complete as directed.(SSR P.No.166,Sl.No.1059)",
"providing RCC 1:2:4 of M20 grade using a minimum quantity of 330kgs of cement and 20mm gauge hard granite machine crushed metal conforming the concrete to IS 456-2000 including labour charges for machine mixing, centering, laying concrete, compacting, vibrating, rendering fine finishing, curing, including all incidental, operational, scaffolding, lift and seigniorage charges, cost and conveyance of all materials and labour etc. at site of work complete (excluding cost of steel, binding wire and its fabracation) as directed by the Engineer-in-charge",
"Providing and laying CC(1:2:4)prop.using 20mm gauge hard granite machine crushed metal in foundation including machine mixing , depositing in position,ramming,finishing all incidental and operational, seig.charges, curing charges, centering charges ,c/c of all labour and materials at site of work etc., complete.",
"Supply and Labour charges for fabrication and placing of reinforcement tor steel bars including bending tying grills with binding wire, transportation steel from place of supply to work spot all incidental and operational charges, c/c of all labourand materials at site of work etc., complete as directed.(Approved data Sl.No.92)",
"Cement Plastering in C.M 1:5 Pro. (1cement: 5sand) 1/2"" or 12mm thick including fine rendering and smooth finishing, curing, cleaning the surface including all incidental operational, scaffolding, lift and seigniorage charges, cost and conveyance of all labour and materials etc.at site of work complete as directed by the Engineer-in-charge. For East side platforms Kerb Beam For West side platforms Kerb Beam",
"Painting with synthetic Enamel paint two coats to new walls over exisiting priming coat of approved colour and quality including labour charges for preparing and cleaning the surface and dirt with soap and brushes including cost and conveyance of all labour and materials at site of work complete with necessary scaffolding, lift etc. complete as directed by the Engineer-in-charge For East side platfoms Kerb Beam For West side platfoms Kerb Beam",
